접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),층,건축년도,건물용도,계약년도,계약월,면적당매매가,평당매매가,거래량,주소,위도,경도
2011,11710,송파구,10900,장지동,1,대지,835,0,송파파인타운2단지,2011-10-25,60000,84.95,10.0,2008.0,아파트,2011,10,706.3,213.66,1,송파구 장지동 835,37.4840338,127.1311955
2016,11305,강북구,10100,미아동,1,대지,811,0,두산위브트레지움,2016-10-14,46500,84.99,8.0,2011.0,아파트,2016,10,547.12,165.5,1,강북구 미아동 811,37.6177639,127.0169309
2020,11710,송파구,11200,오금동,1,대지,2,0,대림,2020-08-29,130000,84.91,8.0,1988.0,아파트,2020,8,1531.03,463.14,1,송파구 오금동 2,37.5102359,127.1291498
2022,11500,강서구,10300,화곡동,1,대지,424,29,에스엠파크빌,2022-03-31,25000,30.77,3.0,2015.0,연립다세대,2022,3,812.48,245.78,1,강서구 화곡동 424-29,37.53095649999999,126.841616
2013,11740,강동구,10100,명일동,1,대지,42,0,명일우성,2013-09-07,62100,133.65,3.0,1986.0,아파트,2013,9,464.65,140.56,1,강동구 명일동 42,37.55115380000001,127.1519191
2018,11260,중랑구,10500,망우동,1,대지,575,0,청광,2018-02-02,31300,83.46,8.0,2001.0,아파트,2018,2,375.03,113.45,1,중랑구 망우동 575,37.5995752,127.1048
2011,11320,도봉구,10500,쌍문동,1,대지,53,0,성원,2010-12-23,23500,71.78,4.0,1989.0,아파트,2010,12,327.39,99.04,1,도봉구 쌍문동 53,37.658413,127.0289024
2017,11740,강동구,10500,길동,1,대지,53,0,삼익파크맨션,2017-04-22,37000,62.91,9.0,1982.0,아파트,2017,4,588.14,177.91,1,강동구 길동 53,37.5435291,127.1485909
2021,11170,용산구,10100,후암동,1,대지,339,4,	(339-4)	,2021-10-22,20000,34.38,6.0,1990.0,오피스텔,2021,10,581.73,175.97,1,용산구 후암동 339-4,37.5501107,126.9821104
2013,11740,강동구,10700,암사동,1,대지,484,36,토호빌라3,2013-08-18,25000,63.55,3.0,2008.0,연립다세대,2013,8,393.39,119.0,1,강동구 암사동 484-36,37.5495433,127.1337579
2020,11215,광진구,10300,구의동,1,대지,224,19,금강빌리지,2020-06-20,31000,65.45,2.0,2008.0,연립다세대,2020,6,473.64,143.28,1,광진구 구의동 224-19,37.5416969,127.0905636
2013,11590,동작구,10100,노량진동,1,대지,325,0,신동아리버파크,2013-03-07,41000,84.88,11.0,2001.0,아파트,2013,3,483.03,146.12,1,동작구 노량진동 325,37.507425,126.9451235
2019,11290,성북구,13300,정릉동,1,대지,375,12,(375-12),2018-12-06,27500,50.4,2.0,2017.0,연립다세대,2018,12,545.63,165.05,1,성북구 정릉동 375-12,37.6078332,127.0063139
2020,11500,강서구,10200,등촌동,1,대지,671,5,메종드남광,2020-11-30,37000,37.69,2.0,2020.0,연립다세대,2020,11,981.69,296.96,1,강서구 등촌동 671-5,37.5590813,126.841834
2022,11560,영등포구,11800,도림동,1,대지,28,0,보람하이빌,2022-04-11,63000,46.27,3.0,2008.0,연립다세대,2022,4,1361.57,411.88,1,영등포구 도림동 28,37.5110117,126.9083365
2013,11350,노원구,10500,상계동,1,대지,765,0,상계주공1(고층),2013-12-19,23000,59.28,5.0,1988.0,아파트,2013,12,387.99,117.37,1,노원구 상계동 765,37.6478884,127.0607972
2017,11680,강남구,11100,세곡동,1,대지,525,0,강남데시앙파크,2017-06-01,82500,114.69,7.0,2011.0,아파트,2017,6,719.33,217.6,1,강남구 세곡동 525,37.4602882,127.1011856
2015,11500,강서구,10200,등촌동,1,대지,688,0,주공3,2015-06-14,22600,37.67,3.0,1995.0,아파트,2015,6,599.95,181.48,1,강서구 등촌동 688,37.5616414,126.8411116
2020,11530,구로구,10700,개봉동,1,대지,350,27,대신아트빌(350-27),2019-12-27,15300,44.58,2.0,2003.0,연립다세대,2019,12,343.2,103.82,1,구로구 개봉동 350-27,37.4879112,126.8549858
2017,11215,광진구,10100,중곡동,1,대지,18,92,(18-92),2017-05-06,26800,45.43,2.0,2015.0,연립다세대,2017,5,589.92,178.45,1,광진구 중곡동 18-92,37.56460879999999,127.0874343
2020,11260,중랑구,10600,신내동,1,대지,656,0,화성두산아파트,2020-06-27,53000,66.96,8.0,1995.0,아파트,2020,6,791.52,239.43,1,중랑구 신내동 656,37.613632,127.0951376
2014,11170,용산구,12900,이촌동,1,대지,404,0,한가람,2014-10-25,108000,114.96,15.0,1998.0,아파트,2014,10,939.46,284.19,1,용산구 이촌동 404,37.5215846,126.9702868
2022,11590,동작구,10100,노량진동,1,대지,84,34,대하주택D,2022-07-29,66000,36.13,2.0,1986.0,연립다세대,2022,7,1826.74,552.59,1,동작구 노량진동 84-34,37.5114399,126.9423262
2014,11740,강동구,10700,암사동,1,대지,413,0,프라이어팰리스,2014-02-04,54000,84.99,2.0,2007.0,아파트,2014,2,635.37,192.2,1,강동구 암사동 413,37.5535267,127.1395007
2022,11380,은평구,10800,역촌동,1,대지,226,8,미성(B동),2022-09-02,10000,32.76,2.0,1989.0,연립다세대,2022,9,305.25,92.34,1,은평구 역촌동 226-8,37.6042921,126.9065328
2018,11530,구로구,10100,신도림동,1,대지,290,0,미성,2018-02-09,43300,83.67,6.0,1987.0,아파트,2018,2,517.51,156.55,1,구로구 신도림동 290,37.5073339,126.8764714
2016,11170,용산구,13200,동빙고동,1,대지,1,14,현대플래티앙2,2016-08-08,97000,144.46,4.0,2004.0,아파트,2016,8,671.47,203.12,1,용산구 동빙고동 1-14,37.5264955,126.996665
2021,11500,강서구,10100,염창동,1,대지,258,1,동아3,2021-04-05,106000,84.87,13.0,1999.0,아파트,2021,4,1248.97,377.81,1,강서구 염창동 258-1,37.5501991,126.8774254
2018,11650,서초구,10800,서초동,1,대지,1641,1,서초삼성래미안,2018-02-03,124000,84.97,15.0,2001.0,아파트,2018,2,1459.34,441.45,1,서초구 서초동 1641-1,37.4934516,127.019953
2018,11290,성북구,11500,삼선동5가,1,대지,100,2,에이스빌,2018-01-03,20950,36.38,3.0,2017.0,연립다세대,2018,1,575.87,174.2,1,성북구 삼선동5가 100-2,37.58715309999999,127.0148738
2015,11530,구로구,10700,개봉동,1,대지,64,50,리빙하우스,2015-08-03,14300,56.37,3.0,2011.0,연립다세대,2015,8,253.68,76.74,1,구로구 개봉동 64-50,37.499741,126.8449432
2017,11620,관악구,10100,봉천동,1,대지,480,18,그린타운,2017-05-09,22500,51.81,2.0,2004.0,연립다세대,2017,5,434.28,131.37,1,관악구 봉천동 480-18,37.488172,126.9481793
2014,11440,마포구,12300,망원동,1,대지,405,55,들국화쉐르빌,2014-10-21,26000,63.15,2.0,2002.0,연립다세대,2014,10,411.72,124.54,1,마포구 망원동 405-55,37.5551777,126.9034307
2019,11560,영등포구,13300,대림동,1,대지,862,10,구례학사,2019-12-12,7600,12.05,4.0,2014.0,연립다세대,2019,12,630.71,190.79,1,영등포구 대림동 862-10,37.491776,126.9028519
2019,11500,강서구,10300,화곡동,1,대지,56,93,도무스 힐르,2019-09-26,30000,55.47,4.0,2019.0,연립다세대,2019,9,540.83,163.6,1,강서구 화곡동 56-93,37.5402795,126.8523218
2013,11530,구로구,10200,구로동,1,대지,1265,0,구로두산,2013-08-10,19300,44.64,12.0,1998.0,아파트,2013,8,432.35,130.79,1,구로구 구로동 1265,37.4893405,126.8892594
2015,11590,동작구,10200,상도동,1,대지,533,0,힐스테이트 상도 프레스티지,2015-06-05,68000,84.95,6.0,2013.0,아파트,2015,6,800.47,242.14,1,동작구 상도동 533,37.496535,126.9489465
2022,11320,도봉구,10800,도봉동,1,대지,563,4,금성빌라,2022-08-04,12800,36.99,3.0,1993.0,연립다세대,2022,8,346.04,104.68,1,도봉구 도봉동 563-4,37.6821776,127.0451614
2019,11620,관악구,10100,봉천동,1,대지,1708,0,두산,2019-06-11,60000,59.92,9.0,2000.0,아파트,2019,6,1001.34,302.9,1,관악구 봉천동 1708,37.4845264,126.9428948
2019,11680,강남구,10300,개포동,1,대지,652,0,개포우성3차,2019-01-12,197000,133.46,12.0,1984.0,아파트,2019,1,1476.1,446.52,1,강남구 개포동 652,37.4839728,127.0560141
2013,11710,송파구,10200,신천동,1,대지,17,0,파크리오,2013-03-14,65000,59.86,19.0,2008.0,아파트,2013,3,1085.87,328.47,1,송파구 신천동 17,37.5205362,127.1061511
2015,11710,송파구,11300,거여동,1,대지,128,12,월드하이츠2차,2015-08-01,16500,23.94,5.0,2010.0,연립다세대,2015,8,689.22,208.49,1,송파구 거여동 128-12,37.4982651,127.1440261
2018,11740,강동구,10900,천호동,1,대지,331,18,너나들이,2018-02-10,24800,30.05,4.0,2018.0,연립다세대,2018,2,825.29,249.65,1,강동구 천호동 331-18,37.5448125,127.1235276
2013,11440,마포구,11500,상수동,1,대지,353,14,소호빌라트,2013-01-28,32250,54.89,2.0,2003.0,연립다세대,2013,1,587.54,177.73,1,마포구 상수동 353-14,37.5458303,126.9237666
2019,11380,은평구,10800,역촌동,1,대지,37,12,하나쉐르빌(37-12),2019-07-25,22000,68.86,2.0,2001.0,연립다세대,2019,7,319.49,96.65,1,은평구 역촌동 37-12,37.6021756,126.9175725
2015,11470,양천구,10300,신월동,1,대지,481,6,조은홈타운,2015-04-20,23000,55.65,4.0,2014.0,연립다세대,2015,4,413.3,125.02,1,양천구 신월동 481-6,37.5247916,126.8455029
2021,11230,동대문구,10600,장안동,1,대지,391,10,라인빌13차,2021-06-01,38750,47.82,4.0,2020.0,연립다세대,2021,6,810.33,245.12,1,동대문구 장안동 391-10,37.5705471,127.0683176
2020,11530,구로구,10200,구로동,1,대지,512,2,하이빌골드타워,2019-12-11,25000,29.24,4.0,2019.0,연립다세대,2019,12,854.99,258.64,1,구로구 구로동 512-2,37.4981264,126.8857417
2022,11380,은평구,11400,진관동,1,대지,150,0,은평뉴타운기자촌11단지,2022-05-06,88500,84.78,3.0,2015.0,아파트,2022,5,1043.88,315.77,1,은평구 진관동 150,37.63632279999999,126.9346539
2017,11710,송파구,10800,문정동,1,대지,1,0,문정래미안,2017-05-15,82000,120.97,13.0,2004.0,아파트,2017,5,677.85,205.05,1,송파구 문정동 1,37.486657,127.122462
2022,11500,강서구,10200,등촌동,1,대지,656,28,유레카2,2022-05-13,21000,25.72,5.0,2015.0,연립다세대,2022,5,816.49,246.99,1,강서구 등촌동 656-28,37.5570491,126.85409
2013,11350,노원구,10500,상계동,1,대지,173,1,벽산,2013-05-13,30000,84.89,9.0,1989.0,아파트,2013,5,353.4,106.9,1,노원구 상계동 173-1,37.6614765,127.0728242
2014,11215,광진구,10400,광장동,1,대지,582,0,광장힐스테이트,2014-08-29,66700,59.99,15.0,2012.0,아파트,2014,8,1111.85,336.34,1,광진구 광장동 582,37.5431792,127.0995622
2013,11680,강남구,11400,일원동,1,대지,731,0,한솔마을,2013-04-24,79000,84.73,5.0,1994.0,아파트,2013,4,932.37,282.04,1,강남구 일원동 731,37.4818897,127.0775108
2020,11680,강남구,11800,도곡동,1,대지,467,19,현대비젼21,2020-06-16,36000,32.65,22.0,1999.0,아파트,2020,6,1102.6,333.54,1,강남구 도곡동 467-19,37.4873616,127.0513255
2022,11650,서초구,10200,양재동,1,대지,375,4,대명아트빌,2022-02-15,42000,29.7,5.0,2017.0,연립다세대,2022,2,1414.14,427.78,1,서초구 양재동 375-4,37.4706739,127.0461424
2011,11470,양천구,10300,신월동,1,대지,418,6,덕화연립,2011-10-05,24000,86.72,2.0,1984.0,연립다세대,2011,10,276.75,83.72,1,양천구 신월동 418-6,37.5231315,126.8370987
2013,11500,강서구,10100,염창동,1,대지,268,0,관음삼성,2013-09-12,32200,59.96,13.0,1997.0,아파트,2013,9,537.02,162.45,1,강서구 염창동 268,37.5525914,126.8691264
2020,11305,강북구,10100,미아동,1,대지,136,11,화성빌라,2019-12-26,25000,25.64,1.0,1993.0,연립다세대,2019,12,975.04,294.95,1,강북구 미아동 136-11,37.6203718,127.0316673
2018,11590,동작구,10700,사당동,1,대지,169,8,대림(169-8),2018-05-16,99000,125.4,14.0,1990.0,아파트,2018,5,789.47,238.82,1,동작구 사당동 169-8,37.48636430000001,126.9730417
2022,11140,중구,16200,신당동,1,대지,432,412,(432-412),2022-08-04,17500,36.1,1.0,1996.0,연립다세대,2022,8,484.76,146.64,1,중구 신당동 432-412,37.55291010000001,127.004778
2018,11530,구로구,10700,개봉동,1,대지,284,6,베스트바로크빌,2018-03-02,20500,47.4,3.0,2012.0,연립다세대,2018,3,432.49,130.83,1,구로구 개봉동 284-6,37.4874747,126.851939
2022,11440,마포구,10200,공덕동,1,대지,475,0,공덕푸르지오시티,2022-03-15,25400,27.74,14.0,2013.0,오피스텔,2022,3,915.65,276.98,1,마포구 공덕동 475,37.5478076,126.9542939
2013,11380,은평구,10600,대조동,1,대지,186,25,연신내역마에스트로,2013-12-24,9717,19.45,8.0,2013.0,오피스텔,2013,12,499.59,151.13,1,은평구 대조동 186-25,37.6171305,126.9223933
2015,11110,종로구,17400,창신동,1,대지,232,0,두산,2015-08-27,53500,84.9,11.0,1999.0,아파트,2015,8,630.15,190.62,1,종로구 창신동 232,37.5742172,127.0142876
2016,11170,용산구,11500,산천동,1,대지,193,0,리버힐삼성,2016-05-20,51000,84.98,1.0,2001.0,아파트,2016,5,600.14,181.54,1,용산구 산천동 193,37.5350017,126.9505935
2021,11590,동작구,10800,대방동,1,대지,391,268,아네스티빌,2021-01-15,58000,58.16,4.0,2011.0,연립다세대,2021,1,997.25,301.67,1,동작구 대방동 391-268,37.5014638,126.9255005
2022,11260,중랑구,10100,면목동,1,대지,454,55,오렌지타운,2022-05-19,24700,30.0,2.0,2017.0,연립다세대,2022,5,823.33,249.06,1,중랑구 면목동 454-55,37.58298,127.0914813
2016,11440,마포구,12500,성산동,1,대지,446,0,성산시영(대우),2016-08-20,43500,50.03,9.0,1986.0,아파트,2016,8,869.48,263.02,1,마포구 성산동 446,37.572115,126.9018923
2016,11500,강서구,10100,염창동,1,대지,298,0,일신건영휴먼빌,2016-04-13,47000,84.93,5.0,2004.0,아파트,2016,4,553.4,167.4,1,강서구 염창동 298,37.552125,126.8734279
2022,11260,중랑구,10100,면목동,1,대지,667,7,성민쉐르빌,2022-05-28,27000,34.12,2.0,2014.0,연립다세대,2022,5,791.32,239.38,1,중랑구 면목동 667-7,37.5779005,127.0832902
2021,11620,관악구,10100,봉천동,1,대지,1730,1,e편한세상서울대입구2단지,2021-02-04,128500,84.93,3.0,2019.0,아파트,2021,2,1513.01,457.69,1,관악구 봉천동 1730-1,37.4764247,126.9424942
2017,11500,강서구,10100,염창동,1,대지,282,0,삼정그린코아,2017-07-22,59000,84.36,11.0,2001.0,아파트,2017,7,699.38,211.56,1,강서구 염창동 282,37.547964,126.8747046
2022,11710,송파구,11100,방이동,1,대지,109,2,(109-2),2022-06-15,11150,12.53,5.0,2015.0,연립다세대,2022,6,889.86,269.18,1,송파구 방이동 109-2,37.5118554,127.1095409
2016,11680,강남구,10600,대치동,1,대지,1014,3,대치삼성,2016-03-12,113000,97.35,6.0,2000.0,아파트,2016,3,1160.76,351.13,1,강남구 대치동 1014-3,37.4963866,127.058402
2016,11680,강남구,10100,역삼동,1,대지,762,3,래미안그레이튼(진달래2차),2016-10-31,131500,105.89,20.0,2010.0,아파트,2016,10,1241.85,375.66,1,강남구 역삼동 762-3,37.4951647,127.0472447
2016,11410,서대문구,11100,홍제동,1,대지,463,0,문화촌현대,2016-07-02,33500,59.94,5.0,2002.0,아파트,2016,7,558.89,169.06,1,서대문구 홍제동 463,37.5922763,126.9494933
2012,11320,도봉구,10500,쌍문동,1,대지,199,1,금호1,2012-08-23,18500,54.48,6.0,1990.0,아파트,2012,8,339.57,102.72,1,도봉구 쌍문동 199-1,37.6590629,127.033472
2011,11500,강서구,10300,화곡동,1,대지,1084,26,모닝빌,2011-08-25,16800,60.18,4.0,2002.0,연립다세대,2011,8,279.16,84.45,1,강서구 화곡동 1084-26,37.538847,126.8374329
2013,11305,강북구,10300,수유동,1,대지,341,11,은진하이빌(341-11),2013-04-18,16000,52.36,2.0,2008.0,연립다세대,2013,4,305.58,92.44,1,강북구 수유동 341-11,37.6439147,127.0154409
2013,11545,금천구,10300,시흥동,1,대지,1013,0,관악산벽산타운5,2013-04-08,27300,84.97,2.0,2004.0,아파트,2013,4,321.29,97.19,1,금천구 시흥동 1013,37.4482694,126.9187697
2016,11500,강서구,10200,등촌동,1,대지,695,0,주공5,2016-05-23,36950,58.14,12.0,1995.0,아파트,2016,5,635.53,192.25,1,강서구 등촌동 695,37.5604513,126.8448691
2018,11170,용산구,10700,동자동,1,대지,19,42,거성아트빌,2018-07-06,31000,21.5,3.0,2002.0,연립다세대,2018,7,1441.86,436.16,1,용산구 동자동 19-42,37.5508543,126.9747527
2021,11170,용산구,10700,동자동,1,대지,56,0,트윈시티 남산,2021-08-25,32130,27.42,6.0,2015.0,오피스텔,2021,8,1171.77,354.46,1,용산구 동자동 56,37.5508614,126.9727844
2015,11320,도봉구,10500,쌍문동,1,대지,160,0,미라보,2015-03-31,24050,84.97,1.0,1995.0,아파트,2015,3,283.04,85.62,1,도봉구 쌍문동 160,37.6551803,127.031428
2021,11545,금천구,10200,독산동,1,대지,891,17,(신흥빌라2동),2020-12-15,14900,42.12,2.0,1991.0,연립다세대,2020,12,353.75,107.01,1,금천구 독산동 891-17,37.4760334,126.907136
2021,11410,서대문구,11100,홍제동,1,대지,373,0,태영으뜸(데시앙),2021-05-29,50500,52.77,10.0,1998.0,아파트,2021,5,956.98,289.49,1,서대문구 홍제동 373,37.5936452,126.9467421
2015,11260,중랑구,10400,묵동,1,대지,174,9,문수해오름,2015-08-08,33500,84.62,5.0,2004.0,아파트,2015,8,395.89,119.76,1,중랑구 묵동 174-9,37.61318869999999,127.0782662
2011,11440,마포구,10200,공덕동,1,대지,462,0,마포공덕파크팰리스Ⅱ,2011-02-10,18800,33.01,18.0,2005.0,오피스텔,2011,2,569.52,172.28,1,마포구 공덕동 462,37.5474565,126.9530591
2014,11200,성동구,10200,하왕십리동,1,대지,1052,0,금호베스트빌,2014-10-04,29000,59.79,5.0,2001.0,아파트,2014,10,485.03,146.72,1,성동구 하왕십리동 1052,37.5613833,127.0258558
2016,11230,동대문구,11000,이문동,1,대지,64,0,쌍용,2016-05-28,32000,59.99,15.0,2000.0,아파트,2016,5,533.42,161.36,1,동대문구 이문동 64,37.5997832,127.0685137
2018,11680,강남구,10800,논현동,1,대지,172,13,파크캐슬B동,2018-10-11,29700,14.59,4.0,2016.0,연립다세대,2018,10,2035.64,615.78,1,강남구 논현동 172-13,37.5083485,127.0288826
2015,11710,송파구,11200,오금동,1,대지,55,14,멀티파크(B동),2015-10-06,16000,38.35,5.0,2002.0,연립다세대,2015,10,417.21,126.21,1,송파구 오금동 55-14,37.5014922,127.1334431
2021,11380,은평구,10800,역촌동,1,대지,20,34,덕산빌라,2021-07-13,14500,38.91,2.0,1995.0,연립다세대,2021,7,372.65,112.73,1,은평구 역촌동 20-34,37.6055176,126.9170236
2014,11200,성동구,10900,금호동1가,1,대지,633,0,벽산,2014-08-30,33800,59.9,15.0,2001.0,아파트,2014,8,564.27,170.69,1,성동구 금호동1가 633,37.5518565,127.0271162
2020,11650,서초구,10800,서초동,1,대지,1303,16,강남역 I'PARK,2020-07-30,26800,27.83,11.0,2013.0,오피스텔,2020,7,962.99,291.3,1,서초구 서초동 1303-16,37.5027479,127.023912
2022,11500,강서구,10300,화곡동,1,대지,392,54,아르누보392,2022-04-14,25400,61.19,4.0,2002.0,연립다세대,2022,4,415.1,125.57,1,강서구 화곡동 392-54,37.5323846,126.849747
2016,11650,서초구,10600,잠원동,1,대지,73,0,신반포2,2016-02-12,95000,79.42,4.0,1978.0,아파트,2016,2,1196.17,361.84,1,서초구 잠원동 73,37.51023,127.0022228
2017,11290,성북구,13900,석관동,1,대지,198,4,D.S하우징,2017-04-11,9316,17.67,3.0,2010.0,연립다세대,2017,4,527.22,159.48,1,성북구 석관동 198-4,37.6103306,127.0602428
2013,11290,성북구,13300,정릉동,1,대지,1031,0,정릉힐스테이트3차,2013-10-13,38500,84.97,1.0,2008.0,아파트,2013,10,453.1,137.06,1,성북구 정릉동 1031,37.6144576,127.0076713
2011,11410,서대문구,11900,북가좌동,1,대지,289,3,민성빌라(289-3),2011-11-25,19000,67.88,3.0,2002.0,연립다세대,2011,11,279.91,84.67,1,서대문구 북가좌동 289-3,37.5800559,126.9146569
2015,11440,마포구,10400,도화동,1,대지,82,0,우성,2015-05-22,44000,79.97,3.0,1991.0,아파트,2015,5,550.21,166.44,1,마포구 도화동 82,37.5363674,126.9470638
2015,11740,강동구,10200,고덕동,1,대지,212,0,주공2,2015-07-18,50000,41.62,5.0,1982.0,아파트,2015,7,1201.35,363.41,1,강동구 고덕동 212,37.5638217,127.1582312
2011,11320,도봉구,10500,쌍문동,1,대지,54,0,현대1,2011-08-06,15750,44.55,10.0,1990.0,아파트,2011,8,353.54,106.94,1,도봉구 쌍문동 54,37.6585638,127.031201
2018,11710,송파구,10400,송파동,1,대지,118,36,청우빌라트,2018-10-10,24000,46.1,4.0,2001.0,연립다세대,2018,10,520.61,157.48,1,송파구 송파동 118-36,37.5071786,127.1125144
2017,11680,강남구,10400,청담동,1,대지,76,12,(76-12),2016-12-22,168000,94.41,1.0,1982.0,연립다세대,2016,12,1779.47,538.29,1,강남구 청담동 76-12,37.5197367,127.0504917
2013,11350,노원구,10500,상계동,1,대지,1277,0,수락한신,2013-05-30,29000,84.95,10.0,1997.0,아파트,2013,5,341.38,103.27,1,노원구 상계동 1277,37.6738362,127.0601339
2013,11530,구로구,10700,개봉동,1,대지,481,0,현대,2013-05-03,29500,59.94,6.0,2001.0,아파트,2013,5,492.16,148.88,1,구로구 개봉동 481,37.4920769,126.8584966
2022,11500,강서구,10300,화곡동,1,대지,936,16,클래시 936,2022-08-04,34900,28.55,12.0,2022.0,오피스텔,2022,8,1222.42,369.78,1,강서구 화곡동 936-16,37.5291666,126.8391934
2017,11290,성북구,13300,정릉동,1,대지,409,13,409-13,2017-07-29,23400,42.81,2.0,2017.0,연립다세대,2017,7,546.6,165.35,1,성북구 정릉동 409-13,37.6073666,127.0109165
2021,11545,금천구,10200,독산동,1,대지,298,10,엠코타운,2021-07-14,33800,43.06,2.0,2015.0,연립다세대,2021,7,784.95,237.45,1,금천구 독산동 298-10,37.4723793,126.8941132
2016,11590,동작구,10100,노량진동,1,대지,57,1,메가스터디타워,2016-05-27,30205,40.45,17.0,2015.0,오피스텔,2016,5,746.72,225.88,1,동작구 노량진동 57-1,37.51281669999999,126.9416667
2013,11320,도봉구,10700,창동,1,대지,827,0,동도센트리움,2013-07-09,32000,79.39,9.0,2009.0,아파트,2013,7,403.07,121.93,1,도봉구 창동 827,37.6616677,127.0453438
2022,11590,동작구,10700,사당동,1,대지,307,3,(307-3),2022-02-14,23500,36.76,1.0,1986.0,연립다세대,2022,2,639.28,193.38,1,동작구 사당동 307-3,37.480272,126.9719178
2015,11350,노원구,10300,공릉동,1,대지,81,0,태강아파트,2015-09-07,24850,49.6,4.0,1999.0,아파트,2015,9,501.01,151.55,1,노원구 공릉동 81,37.6234994,127.0831875
2012,11290,성북구,13200,보문동3가,1,대지,2,0,현대I-PARK,2012-09-14,32850,59.65,6.0,2003.0,아파트,2012,9,550.71,166.59,1,성북구 보문동3가 2,37.5855869,127.0166208
2019,11710,송파구,10800,문정동,1,대지,150,0,올림픽훼밀리타운,2019-08-27,158500,136.33,7.0,1988.0,아파트,2019,8,1162.62,351.69,1,송파구 문정동 150,37.4885195,127.1143775
2022,11545,금천구,10300,시흥동,1,대지,243,22,테마빌,2022-05-25,27500,59.12,2.0,2016.0,연립다세대,2022,5,465.16,140.71,1,금천구 시흥동 243-22,37.4508909,126.913137
2020,11260,중랑구,10100,면목동,1,대지,456,6,리드빌,2020-08-28,17500,45.14,4.0,2003.0,연립다세대,2020,8,387.68,117.27,1,중랑구 면목동 456-6,37.5830801,127.0903364
2022,11215,광진구,10300,구의동,1,대지,208,79,힐알펜시아11차,2022-04-11,62500,66.05,2.0,,연립다세대,2022,4,946.25,286.24,1,광진구 구의동 208-79,37.5420603,127.0915619
2015,11650,서초구,10100,방배동,1,대지,879,21,(879-21),2015-11-03,75500,153.48,2.0,1992.0,연립다세대,2015,11,491.92,148.81,1,서초구 방배동 879-21,37.48937069999999,126.9958854
2012,11740,강동구,10700,암사동,1,대지,445,0,한강포스파크,2012-11-06,40500,80.65,13.0,2002.0,아파트,2012,11,502.17,151.91,1,강동구 암사동 445,37.5562375,127.1342427
2011,11680,강남구,11500,수서동,1,대지,712,0,수서한아름,2011-01-11,93000,129.45,10.0,1993.0,아파트,2011,1,718.42,217.32,1,강남구 수서동 712,37.4894697,127.1035761
2011,11290,성북구,10300,돈암동,1,대지,636,0,이수브라운스톤돈암,2011-10-05,45500,84.97,6.0,2004.0,아파트,2011,10,535.48,161.98,1,성북구 돈암동 636,37.5978717,127.01779
2011,11290,성북구,10300,돈암동,1,대지,609,1,한신,2010-12-15,38800,84.87,13.0,1998.0,아파트,2010,12,457.17,138.29,1,성북구 돈암동 609-1,37.5948075,127.0103188
2011,11740,강동구,10800,성내동,1,대지,529,0,성지아트빌(529),2011-05-20,26600,63.73,4.0,2004.0,연립다세대,2011,5,417.39,126.26,1,강동구 성내동 529,37.5298874,127.1305195
2011,11230,동대문구,10400,전농동,1,대지,10,0,전농SK,2011-01-06,29500,59.96,7.0,2000.0,아파트,2011,1,491.99,148.83,1,동대문구 전농동 10,37.5766417,127.060466
2022,11440,마포구,12000,서교동,1,대지,487,0,대우미래사랑,2022-07-26,31700,34.29,8.0,2005.0,아파트,2022,7,924.47,279.65,1,마포구 서교동 487,37.5573699,126.9167893
2018,11350,노원구,10500,상계동,1,대지,1295,0,상계우방유쉘,2018-04-16,41800,84.97,3.0,2000.0,아파트,2018,4,491.94,148.81,1,노원구 상계동 1295,37.6719772,127.0568185
2022,11740,강동구,10900,천호동,1,대지,425,3,천호역 한강 푸르지오시티,2021-12-27,20000,26.27,27.0,2015.0,오피스텔,2021,12,761.32,230.3,1,강동구 천호동 425-3,37.5403473,127.1257955
2020,11320,도봉구,10700,창동,1,대지,609,150,금강빌라11차,2020-10-26,9500,32.7,2.0,1994.0,연립다세대,2020,10,290.52,87.88,1,도봉구 창동 609-150,37.6436101,127.0390077
2017,11680,강남구,10100,역삼동,1,대지,656,17,갤러리빌A동,2017-04-06,49000,65.37,3.0,2003.0,연립다세대,2017,4,749.58,226.75,1,강남구 역삼동 656-17,37.5069937,127.0383806
2013,11530,구로구,10900,궁동,1,대지,147,8,유앤미빌리지105동,2013-06-01,19500,49.15,2.0,2011.0,연립다세대,2013,6,396.74,120.02,1,구로구 궁동 147-8,37.4997719,126.831345
2019,11530,구로구,10200,구로동,1,대지,685,147,현대상선,2019-07-20,55100,79.98,5.0,1987.0,아파트,2019,7,688.92,208.4,1,구로구 구로동 685-147,37.4960516,126.8752135
2020,11290,성북구,13500,종암동,1,대지,104,1,종암에스케이,2020-02-02,53000,59.86,21.0,1999.0,아파트,2020,2,885.4,267.83,1,성북구 종암동 104-1,37.6011845,127.0369888
2020,11320,도봉구,10800,도봉동,1,대지,593,2,현대맨션,2020-09-24,12800,48.85,5.0,2002.0,연립다세대,2020,9,262.03,79.26,1,도봉구 도봉동 593-2,37.6783641,127.0409702
2014,11380,은평구,10300,불광동,1,대지,629,0,대호아파트,2014-04-05,26300,59.7,5.0,1999.0,아파트,2014,4,440.54,133.26,1,은평구 불광동 629,37.6149086,126.9334816
