접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),층,건축년도,건물용도,계약년도,계약월,면적당매매가,평당매매가,거래량,주소,위도,경도
2013,11590,동작구,10700,사당동,1,대지,105,0,극동(105),2013-07-04,48950,109.7,10.0,1993.0,아파트,2013,7,446.22,134.98,1,동작구 사당동 105,37.4896386,126.9759403
2017,11350,노원구,10600,중계동,1,대지,588,0,양지마을(대림)2,2017-03-07,33600,59.4,19.0,1999.0,아파트,2017,3,565.66,171.11,1,노원구 중계동 588,37.6534321,127.072311
2016,11680,강남구,10100,역삼동,1,대지,825,20,강남역 센트럴 푸르지오 시티,2016-08-19,29500,24.61,8.0,2015.0,오피스텔,2016,8,1198.7,362.61,1,강남구 역삼동 825-20,37.4977256,127.0292972
2019,11545,금천구,10300,시흥동,1,대지,919,88,시흥파크빌Ⅱ,2019-06-21,23850,44.75,3.0,2019.0,연립다세대,2019,6,532.96,161.22,1,금천구 시흥동 919-88,37.449007,126.9075104
2022,11680,강남구,10100,역삼동,1,대지,825,20,강남역 센트럴 푸르지오 시티,2022-06-29,33000,22.01,17.0,2015.0,오피스텔,2022,6,1499.32,453.54,1,강남구 역삼동 825-20,37.4977256,127.0292972
2020,11560,영등포구,10200,영등포동1가,1,대지,28,0,지엘 리베라움,2019-06-18,15990,18.06,4.0,2014.0,오피스텔,2019,6,885.38,267.83,1,영등포구 영등포동1가 28,37.5182444,126.9146339
2020,11740,강동구,10900,천호동,1,대지,163,7,현일 디와이디,2020-05-27,23900,17.19,9.0,2019.0,연립다세대,2020,5,1390.34,420.58,1,강동구 천호동 163-7,37.53797309999999,127.1330594
2021,11500,강서구,10300,화곡동,1,대지,925,15,리치아파트 105동,2021-07-28,24500,25.46,4.0,2021.0,오피스텔,2021,7,962.29,291.09,1,강서구 화곡동 925-15,37.5298079,126.8423805
2018,11470,양천구,10100,신정동,1,대지,1321,0,이펜하우스1단지,2018-01-08,48300,84.86,4.0,2011.0,아파트,2018,1,569.17,172.17,1,양천구 신정동 1321,37.514826,126.8269852
2011,11500,강서구,10300,화곡동,1,대지,409,60,인터시티빌라(409-60),2011-08-10,13800,44.76,2.0,2003.0,연립다세대,2011,8,308.31,93.26,1,강서구 화곡동 409-60,37.5377793,126.84742
2016,11350,노원구,10500,상계동,1,대지,1289,0,상계불암대림,2016-12-30,42000,114.81,1.0,2000.0,아파트,2016,12,365.82,110.66,1,노원구 상계동 1289,37.6632116,127.0771559
2017,11710,송파구,10700,가락동,1,대지,165,0,래미안파크팰리스,2017-03-22,78800,84.92,4.0,2007.0,아파트,2017,3,927.93,280.7,1,송파구 가락동 165,37.4981912,127.1320968
2021,11560,영등포구,13000,양평동6가,1,대지,2,2,정현파라베나,2021-07-16,34500,28.29,2.0,2021.0,오피스텔,2021,7,1219.51,368.9,1,영등포구 양평동6가 2-2,37.5405229,126.8901853
