접수년도,자치구코드,자치구명,법정동코드,법정동명,지번구분코드,지번구분,본번,부번,층,계약일,전월세구분,임대면적,보증금(만원),임대료(만원),건물명,건축년도,건물용도,주소,위도,경도,제곱미터당전세가,평당전세가
2019,11350,노원구,10500,상계동,1,대지,1256,0,2.0,20181222,전세,39.7,15000,0,은빛2단지,1998.0,아파트,노원구 상계동 1256,37.6799626,127.0535049,377.83,114.29
2022,11710,송파구,10800,문정동,1,대지,622,0,7.0,20220217,월세,29.96,1000,82,송파한화오벨리스크,2013.0,오피스텔,송파구 문정동 622,37.4800949,127.1196836,33.38,10.1
2013,11470,양천구,10200,목동,1,대지,925,0,15.0,20130225,전세,66.6,28000,0,목동신시가지7,1986.0,아파트,양천구 목동 925,37.5288229,126.8678406,420.42,127.18
2020,11560,영등포구,13200,신길동,1,대지,4964,0,12.0,20200210,전세,59.98,50000,0,신길센트럴자이아파트,2021.0,아파트,영등포구 신길동 4964,37.5030677,126.9077516,833.61,252.17
2013,11560,영등포구,12700,양평동3가,1,대지,54,0,5.0,20130225,전세,94.79,23000,0,양평동 대우이안2,2005.0,오피스텔,영등포구 양평동3가 54,37.5270284,126.8893734,242.64,73.4
2022,11590,동작구,10200,상도동,1,대지,900,0,3.0,20220301,월세,84.89,20000,215,상도파크자이,2016.0,아파트,동작구 상도동 900,37.5057831,126.9383233,235.6,71.27
2018,11740,강동구,11000,강일동,1,대지,674,0,9.0,20181010,전세,84.53,40000,0,강일리버파크3단지,2009.0,아파트,강동구 강일동 674,37.5667207,127.1747157,473.2,143.14
2015,11500,강서구,10500,마곡동,1,대지,784,0,5.0,20150717,월세,17.96,500,40,마곡경동미르웰,2015.0,오피스텔,강서구 마곡동 784,37.566206,126.8402258,27.84,8.42
2014,11710,송파구,10200,신천동,1,대지,17,6,3.0,20140405,전세,46.54,20000,0,미성,1980.0,아파트,송파구 신천동 17-6,37.517514,127.1070384,429.74,130.0
2018,11440,마포구,11100,신수동,1,대지,22,35,9.0,20181130,월세,31.83,1000,75,하나테크노빌,2002.0,아파트,마포구 신수동 22-35,37.548517,126.9400194,31.42,9.5
2012,11680,강남구,11500,수서동,1,대지,746,0,6.0,20120917,전세,34.44,15500,0,까치마을,1993.0,아파트,강남구 수서동 746,37.4847337,127.0876186,450.06,136.14
2021,11530,구로구,10800,오류동,1,대지,156,15,3.0,20211023,전세,75.87,20000,0,현대연립,1985.0,연립다세대,구로구 오류동 156-15,37.4890753,126.8412519,263.61,79.74
2013,11305,강북구,10300,수유동,1,대지,45,93,2.0,20130927,전세,30.8,6000,0,대성월드빌,2002.0,아파트,강북구 수유동 45-93,37.6351792,127.0215197,194.81,58.93
2022,11380,은평구,10300,불광동,1,대지,329,7,6.0,20220513,전세,42.23,27000,0,행복공간,2013.0,연립다세대,은평구 불광동 329-7,37.618087,126.9256774,639.36,193.41
2018,11650,서초구,10700,반포동,1,대지,757,0,1.0,20180305,전세,106.26,46000,0,반포주공1단지,1973.0,아파트,서초구 반포동 757,37.5053539,126.9890363,432.9,130.95
2016,11440,마포구,11400,창전동,1,대지,6,243,1.0,20160118,전세,37.16,6000,0,(6-243),2002.0,연립다세대,마포구 창전동 6-243,37.5522864,126.9275963,161.46,48.84
2022,11320,도봉구,10500,쌍문동,1,대지,103,6,11.0,20220511,월세,19.17,2692,9,인히어쌍문,2022.0,아파트,도봉구 쌍문동 103-6,37.6458629,127.0326045,140.43,42.48
2011,11230,동대문구,10500,답십리동,1,대지,998,0,6.0,20110415,월세,84.91,20000,50,두산위브,2007.0,아파트,동대문구 답십리동 998,37.5661855,127.0576942,235.54,71.25
2017,11620,관악구,10100,봉천동,1,대지,895,9,6.0,20170419,월세,27.52,6000,70,그레이빌,2017.0,연립다세대,관악구 봉천동 895-9,37.4809165,126.9467656,218.02,65.95
2022,11200,성동구,10700,행당동,1,대지,349,0,5.0,20220107,월세,59.94,20000,55,서울숲 한신 더 휴,2003.0,아파트,성동구 행당동 349,37.5551292,127.036254,333.67,100.93
2013,11140,중구,16200,신당동,1,대지,843,0,13.0,20130302,전세,59.98,25000,0,삼성,1999.0,아파트,중구 신당동 843,37.5581685,127.0178958,416.81,126.08
2019,11650,서초구,10700,반포동,1,대지,20,43,21.0,20181227,월세,84.98,90000,130,반포자이,2009.0,아파트,서초구 반포동 20-43,37.5066137,127.0140157,1059.07,320.37
2022,11440,마포구,12500,성산동,1,대지,50,10,6.0,20221129,월세,26.79,9000,25,골든빌오피스텔(50-10),2003.0,오피스텔,마포구 성산동 50-10,37.5652398,126.912995,335.95,101.62
2011,11545,금천구,10300,시흥동,1,대지,1002,1,5.0,20110503,전세,49.75,10000,0,럭키남서울아파트,1981.0,아파트,금천구 시흥동 1002-1,37.4504215,126.8993776,201.01,60.8
2011,11560,영등포구,12100,문래동3가,1,대지,54,0,13.0,20110303,전세,121.53,42000,0,문래자이,2001.0,아파트,영등포구 문래동3가 54,37.51614319999999,126.8967779,345.59,104.54
2021,11200,성동구,10700,행당동,1,대지,347,0,15.0,20210731,전세,114.94,85000,0,대림e-편한세상,2000.0,아파트,성동구 행당동 347,37.5579013,127.0271186,739.52,223.7
2022,11260,중랑구,10500,망우동,1,대지,608,0,21.0,20221222,월세,44.55,8680,31,LH서울양원1단지,2022.0,아파트,중랑구 망우동 608,37.59958719999999,127.106326,194.84,58.94
2020,11650,서초구,10700,반포동,1,대지,18,1,18.0,20200528,전세,222.76,290000,0,래미안퍼스티지,2009.0,아파트,서초구 반포동 18-1,37.502931,126.9992466,1301.85,393.81
2022,11710,송파구,10100,잠실동,1,대지,27,0,2.0,20220701,월세,76.5,30000,75,주공아파트 5단지,1978.0,아파트,송파구 잠실동 27,37.5152448,127.0948683,392.16,118.63
2014,11560,영등포구,12700,양평동3가,1,대지,101,0,17.0,20140228,전세,84.94,28000,0,양평현대6차,2000.0,아파트,영등포구 양평동3가 101,37.5318483,126.8935108,329.64,99.72
2012,11710,송파구,11300,거여동,1,대지,225,15,5.0,20120126,전세,60.86,11000,0,환주빌리지,2002.0,연립다세대,송파구 거여동 225-15,37.4914268,127.1502013,180.74,54.67
2022,11530,구로구,10900,궁동,1,대지,190,116,5.0,20220919,전세,44.01,21000,0,예지팰리스86차,2015.0,연립다세대,구로구 궁동 190-116,37.4947503,126.8339787,477.16,144.34
2021,11710,송파구,10800,문정동,1,대지,145,0,12.0,20210121,월세,39.69,3000,65,문정시영,1989.0,아파트,송파구 문정동 145,37.4905974,127.1354467,75.59,22.86
2011,11350,노원구,10200,월계동,1,대지,929,0,3.0,20110305,전세,59.95,3000,0,현대,2000.0,아파트,노원구 월계동 929,37.6185529,127.0625822,50.04,15.14
2016,11650,서초구,10100,방배동,1,대지,906,11,4.0,20161014,전세,62.33,33000,0,드림빌(906-11),2002.0,연립다세대,서초구 방배동 906-11,37.4848052,126.9970795,529.44,160.16
2019,11290,성북구,13800,장위동,1,대지,173,114,18.0,20190715,전세,84.94,38000,0,래미안장위퍼스트하이,2020.0,아파트,성북구 장위동 173-114,37.6190851,127.0506754,447.37,135.33
2019,11380,은평구,10600,대조동,1,대지,186,45,8.0,20190919,전세,17.18,10000,0,H빌딩,2013.0,아파트,은평구 대조동 186-45,37.61685490000001,126.922587,582.07,176.08
2022,11200,성동구,10100,상왕십리동,1,대지,811,0,17.0,20220428,월세,84.92,73000,45,텐즈힐(2구역),2014.0,아파트,성동구 상왕십리동 811,37.5693623,127.0247156,859.63,260.04
2020,11650,서초구,10600,잠원동,1,대지,56,2,12.0,20201208,전세,53.46,45000,0,신반포27,1985.0,아파트,서초구 잠원동 56-2,37.5157781,127.0098306,841.75,254.63
2019,11440,마포구,10400,도화동,1,대지,357,0,1.0,20191107,전세,128.26,50000,0,도화동현대,1996.0,아파트,마포구 도화동 357,37.5394259,126.9538604,389.83,117.92
2016,11260,중랑구,10100,면목동,1,대지,1516,0,20.0,20151202,전세,59.5,24000,0,면목삼익아파트,1997.0,아파트,중랑구 면목동 1516,37.5752186,127.0795854,403.36,122.02
2014,11620,관악구,10200,신림동,1,대지,88,20,5.0,20140604,전세,26.86,16500,0,골드빌리지,2014.0,연립다세대,관악구 신림동 88-20,37.4806508,126.9321677,614.3,185.82
2013,11680,강남구,10300,개포동,1,대지,1256,0,1.0,20130328,전세,33.3,12000,0,청호빌라,1997.0,연립다세대,강남구 개포동 1256,37.4796962,127.0472174,360.36,109.01
2020,11140,중구,16300,흥인동,1,대지,13,1,11.0,20200604,전세,124.37,95000,0,청계천두산위브더제니스,2014.0,아파트,중구 흥인동 13-1,37.5668612,127.0171104,763.85,231.06
2014,11230,동대문구,10600,장안동,1,대지,431,7,12.0,20140123,전세,20.2,7000,0,장안 루아르 오피스텔,2012.0,오피스텔,동대문구 장안동 431-7,37.5637389,127.0654666,346.53,104.83
2012,11560,영등포구,11000,여의도동,1,대지,42,0,7.0,20120107,전세,149.59,41000,0,한양,1975.0,아파트,영등포구 여의도동 42,37.5214745,126.9325037,274.08,82.91
2019,11440,마포구,12500,성산동,1,대지,446,0,14.0,20180512,전세,59.43,24500,0,성산시영(유원),1986.0,아파트,마포구 성산동 446,37.572115,126.9018923,412.25,124.71
2017,11260,중랑구,10200,상봉동,1,대지,81,5,12.0,20170208,전세,125.68,45000,0,한일써너스빌,2003.0,아파트,중랑구 상봉동 81-5,37.5971029,127.0911815,358.05,108.31
2020,11740,강동구,10300,상일동,1,대지,519,0,22.0,20200417,월세,84.97,10000,150,고덕아르테온,2020.0,아파트,강동구 상일동 519,37.5555486,127.1643221,117.69,35.6
2013,11650,서초구,10800,서초동,1,대지,1332,0,2.0,20130415,전세,100.61,20000,0,우성3,1980.0,아파트,서초구 서초동 1332,37.4918245,127.0247203,198.79,60.13
2017,11440,마포구,12300,망원동,1,대지,57,197,3.0,20170627,전세,46.46,20000,0,다세대주택,2008.0,연립다세대,마포구 망원동 57-197,37.5545293,126.9074217,430.48,130.22
2022,11710,송파구,10100,잠실동,1,대지,175,12,1.0,20220818,월세,34.02,15000,27,올림픽타워,2004.0,오피스텔,송파구 잠실동 175-12,37.5114271,127.0805129,440.92,133.38
2016,11230,동대문구,11000,이문동,1,대지,325,20,11.0,20151210,전세,22.14,7000,0,민족통일 대통령 리빙텔,2004.0,오피스텔,동대문구 이문동 325-20,37.5944582,127.0593111,316.17,95.64
2021,11320,도봉구,10600,방학동,1,대지,271,1,1.0,20211207,전세,112.49,37200,0,신동아아파트1,1986.0,아파트,도봉구 방학동 271-1,37.660882,127.0266718,330.7,100.04
2019,11500,강서구,10300,화곡동,1,대지,366,21,5.0,20190711,전세,39.24,19500,0,JKVILL,2015.0,연립다세대,강서구 화곡동 366-21,37.5345396,126.8414124,496.94,150.32
2021,11350,노원구,10500,상계동,1,대지,737,0,1.0,20190926,전세,62.17,23000,0,상계주공3(저층),1987.0,아파트,노원구 상계동 737,37.6518924,127.0579984,369.95,111.91
2011,11470,양천구,10100,신정동,1,대지,912,10,5.0,20111219,월세,18.56,1000,35,영훈은률(912-10),2011.0,연립다세대,양천구 신정동 912-10,37.52691799999999,126.8566676,53.88,16.3
2015,11305,강북구,10300,수유동,1,대지,701,6,,20150212,전세,41.2,4000,0,동원빌라,1991.0,연립다세대,강북구 수유동 701-6,37.6485001,127.018918,97.09,29.37
2021,11620,관악구,10200,신림동,1,대지,1678,0,2.0,20210410,전세,48.87,19000,0,찬솔팰리스,2014.0,연립다세대,관악구 신림동 1678,37.4732185,126.9213975,388.79,117.61
2017,11350,노원구,10300,공릉동,1,대지,350,97,4.0,20170115,전세,64.33,5000,0,로뎀하우스,2009.0,연립다세대,노원구 공릉동 350-97,37.6240788,127.078132,77.72,23.51
2017,11710,송파구,10100,잠실동,1,대지,19,0,7.0,20170617,월세,84.8,20000,160,잠실엘스,2008.0,아파트,송파구 잠실동 19,37.5140688,127.0813814,235.85,71.34
2012,11350,노원구,10200,월계동,1,대지,13,0,5.0,20120224,전세,50.14,11000,0,미성,1986.0,아파트,노원구 월계동 13,37.6245902,127.0654159,219.39,66.36
2022,11680,강남구,10100,역삼동,1,대지,777,12,2.0,20220730,전세,42.55,30400,0,(777-12),2015.0,연립다세대,강남구 역삼동 777-12,37.4954385,127.0419125,714.45,216.12
2014,11350,노원구,10500,상계동,1,대지,647,0,5.0,20141030,전세,41.3,11000,0,상계주공12(고층),1988.0,아파트,노원구 상계동 647,37.6661657,127.0593193,266.34,80.57
2014,11230,동대문구,10600,장안동,1,대지,365,4,9.0,20140606,전세,51.07,18500,0,서희스타힐스,2013.0,아파트,동대문구 장안동 365-4,37.5692893,127.0705358,362.25,109.58
2021,11680,강남구,10100,역삼동,1,대지,755,4,8.0,20210113,전세,84.99,150000,0,e-편한세상,2005.0,아파트,강남구 역삼동 755-4,37.4987773,127.0498786,1764.91,533.89
2020,11650,서초구,10800,서초동,1,대지,1685,3,35.0,20191203,전세,138.96,135000,0,아크로비스타,2004.0,아파트,서초구 서초동 1685-3,37.4981989,127.0133145,971.5,293.88
2012,11305,강북구,10100,미아동,1,대지,561,2,2.0,20121218,전세,59.4,11300,0,현대성우,1998.0,아파트,강북구 미아동 561-2,37.617204,127.0221045,190.24,57.55
2019,11260,중랑구,10400,묵동,1,대지,167,0,18.0,20170628,전세,59.89,26500,0,신도,1998.0,아파트,중랑구 묵동 167,37.6168557,127.077373,442.48,133.85
2021,11650,서초구,10800,서초동,1,대지,1442,6,4.0,20210313,전세,29.71,24600,0,스마트빌,2015.0,연립다세대,서초구 서초동 1442-6,37.4848968,127.0212357,828.0,250.47
2015,11470,양천구,10100,신정동,1,대지,327,0,8.0,20141121,전세,70.73,31000,0,목동신시가지13,1987.0,아파트,양천구 신정동 327,37.5141907,126.8650029,438.29,132.58
2020,11380,은평구,10200,녹번동,1,대지,282,0,14.0,20201120,전세,84.9,52500,0,힐스테이트녹번,2019.0,아파트,은평구 녹번동 282,37.6017429,126.9368222,618.37,187.06
2011,11710,송파구,11300,거여동,1,대지,294,0,12.0,20110728,월세,59.74,4000,90,거여5단지,1997.0,아파트,송파구 거여동 294,37.4888872,127.1453182,66.96,20.25
2021,11380,은평구,11400,진관동,1,대지,27,0,2.0,20201124,전세,84.78,60000,0,은평뉴타운구파발(금호어울림10단지),2010.0,아파트,은평구 진관동 27,37.6449232,126.9239742,707.71,214.08
2018,11650,서초구,10700,반포동,1,대지,968,0,2.0,20180124,전세,72.51,25000,0,에이아이디차관주택,1974.0,아파트,서초구 반포동 968,37.5006731,126.9912337,344.78,104.3
2018,11200,성동구,11100,금호동3가,1,대지,700,0,15.0,20180812,전세,84.98,56000,0,금호자이2차,2012.0,아파트,성동구 금호동3가 700,37.5503253,127.0218814,658.98,199.34
2013,11680,강남구,10600,대치동,1,대지,932,21,3.0,20130313,전세,19.22,8500,0,창전유니빌,2002.0,연립다세대,강남구 대치동 932-21,37.4996048,127.0593068,442.25,133.78
2021,11170,용산구,11200,원효로1가,1,대지,112,4,7.0,20210731,전세,25.5,16000,0,디아뜨 센트럴,2004.0,오피스텔,용산구 원효로1가 112-4,37.540962,126.970338,627.45,189.8
2022,11710,송파구,10100,잠실동,1,대지,35,0,21.0,20221219,전세,84.83,93000,0,트리지움,2007.0,아파트,송파구 잠실동 35,37.5098873,127.0895702,1096.31,331.63
2015,11620,관악구,10100,봉천동,1,대지,478,16,2.0,20151222,전세,52.2,10000,0,유승빌라,1991.0,연립다세대,관악구 봉천동 478-16,37.4897976,126.9477564,191.57,57.95
2021,11215,광진구,10700,화양동,1,대지,113,1,4.0,20210202,월세,15.63,1000,60,광진코지웰,2014.0,아파트,광진구 화양동 113-1,37.5470672,127.071841,63.98,19.35
2018,11500,강서구,10300,화곡동,1,대지,874,7,2.0,20181013,월세,46.3,2000,50,중앙주택,2002.0,연립다세대,강서구 화곡동 874-7,37.5307651,126.8530956,43.2,13.07
2013,11650,서초구,10300,우면동,1,대지,730,0,12.0,20130131,전세,114.95,35200,0,서초네이처힐5단지,2011.0,아파트,서초구 우면동 730,37.4625181,127.0248296,306.22,92.63
2019,11740,강동구,11000,강일동,1,대지,699,0,7.0,20190807,전세,84.74,43000,0,강일리버파크9단지,2009.0,아파트,강동구 강일동 699,37.55985,127.1788258,507.43,153.5
2012,11350,노원구,10500,상계동,1,대지,666,0,9.0,20120111,전세,41.3,10000,0,상계주공10(고층),1988.0,아파트,노원구 상계동 666,37.6630142,127.0557097,242.13,73.24
2021,11350,노원구,10500,상계동,1,대지,749,5,10.0,20200207,월세,41.3,1000,60,상계주공4(고층),1988.0,아파트,노원구 상계동 749-5,37.6500651,127.0622174,24.21,7.32
2022,11380,은평구,10300,불광동,1,대지,242,43,2.0,20220627,전세,43.38,13000,0,(242-43),1986.0,연립다세대,은평구 불광동 242-43,37.6149622,126.9322164,299.68,90.65
2021,11215,광진구,10500,자양동,1,대지,596,4,3.0,20210724,전세,34.38,20000,0,대명리치빌,2008.0,연립다세대,광진구 자양동 596-4,37.53090419999999,127.0784807,581.73,175.97
2021,11740,강동구,10300,상일동,1,대지,490,0,1.0,20210330,전세,84.83,18629,0,고덕리엔파크3단지,2011.0,아파트,강동구 상일동 490,37.5524225,127.1753241,219.6,66.43
2017,11380,은평구,10700,응암동,1,대지,731,21,5.0,20170112,전세,37.7,7000,0,"고려빌라(A,B)(731-21)",2003.0,연립다세대,은평구 응암동 731-21,37.5851638,126.9202162,185.68,56.17
2015,11710,송파구,10500,석촌동,1,대지,179,12,2.0,20150311,월세,43.47,3000,60,진주빌라,2003.0,연립다세대,송파구 석촌동 179-12,37.5064789,127.1043559,69.01,20.88
2021,11500,강서구,10600,내발산동,1,대지,742,0,5.0,20210413,월세,39.92,2247,20,마곡수명산파크1단지,2007.0,아파트,강서구 내발산동 742,37.5543776,126.8302062,56.29,17.03
2013,11650,서초구,10200,양재동,1,대지,90,0,4.0,20130613,전세,39.1,20500,0,신영체르니,2002.0,아파트,서초구 양재동 90,37.4790333,127.0414993,524.3,158.6
2012,11410,서대문구,11100,홍제동,1,대지,465,0,7.0,20120407,전세,116.28,29000,0,인왕산벽산,2003.0,아파트,서대문구 홍제동 465,37.5923845,126.9484472,249.4,75.44
2013,11410,서대문구,10100,충정로2가,1,대지,37,4,,20130208,월세,24.0,1000,60,서호빌,2013.0,연립다세대,서대문구 충정로2가 37-4,37.565719,126.964998,41.67,12.6
2012,11530,구로구,10700,개봉동,1,대지,476,0,15.0,20111217,전세,59.57,18000,0,한마을,1999.0,아파트,구로구 개봉동 476,37.4952641,126.8625018,302.17,91.41
2017,11410,서대문구,11800,홍은동,1,대지,277,60,4.0,20170707,월세,144.3,25000,50,넥서스빌,2002.0,아파트,서대문구 홍은동 277-60,37.5818082,126.9327502,173.25,52.41
2014,11680,강남구,10600,대치동,1,대지,316,0,11.0,20140812,전세,84.43,37000,0,은마,1979.0,아파트,강남구 대치동 316,37.4974176,127.0653272,438.23,132.57
2012,11350,노원구,10500,상계동,1,대지,691,0,12.0,20121022,월세,41.3,3000,35,상계주공7(고층),1988.0,아파트,노원구 상계동 691,37.6601568,127.0623087,72.64,21.97
2022,11350,노원구,10500,상계동,1,대지,1306,0,12.0,20220511,월세,84.89,15000,76,우림루미아트1,2004.0,아파트,노원구 상계동 1306,37.6745862,127.0561391,176.7,53.45
2015,11680,강남구,11500,수서동,1,대지,746,0,7.0,20150416,전세,34.44,22000,0,까치마을,1993.0,아파트,강남구 수서동 746,37.4847337,127.0876186,638.79,193.23
2011,11560,영등포구,12600,양평동2가,1,대지,45,0,6.0,20110415,월세,27.99,847,9,상록수,1999.0,아파트,영등포구 양평동2가 45,37.5237771,126.8835404,30.26,9.15
2011,11500,강서구,10200,등촌동,1,대지,688,0,15.0,20110919,월세,58.14,2000,90,주공3,1995.0,아파트,강서구 등촌동 688,37.5616414,126.8411116,34.4,10.41
2022,11320,도봉구,10800,도봉동,1,대지,595,0,10.0,20220207,전세,84.86,38000,0,럭키,1992.0,아파트,도봉구 도봉동 595,37.6792277,127.0444167,447.8,135.46
2015,11170,용산구,12800,한강로3가,1,대지,63,387,16.0,20150326,전세,145.65,85000,0,시티파크(2단지),2007.0,아파트,용산구 한강로3가 63-387,37.5261582,126.9698833,583.59,176.54
2016,11740,강동구,10700,암사동,1,대지,414,2,15.0,20160822,월세,84.81,41500,30,롯데캐슬퍼스트,2008.0,아파트,강동구 암사동 414-2,37.5564401,127.1420345,489.33,148.02
2017,11290,성북구,12500,안암동5가,1,대지,134,18,7.0,20170725,월세,10.8,1000,50,구겸빌딩,2016.0,연립다세대,성북구 안암동5가 134-18,37.5821223,127.0283557,92.59,28.01
2012,11620,관악구,10100,봉천동,1,대지,877,8,4.0,20120113,월세,13.14,500,38,하늘채 오피스텔,2004.0,오피스텔,관악구 봉천동 877-8,37.479562,126.9501514,38.05,11.51
2018,11710,송파구,10500,석촌동,1,대지,287,7,3.0,20180331,월세,47.25,2500,35,(287-7),2001.0,연립다세대,송파구 석촌동 287-7,37.5039619,127.106614,52.91,16.01
2021,11200,성동구,11500,성수동2가,1,대지,834,0,4.0,20210601,전세,104.56,57750,0,현대I-PARK,2003.0,아파트,성동구 성수동2가 834,37.54740719999999,127.0566112,552.31,167.08
2021,11590,동작구,10200,상도동,1,대지,363,164,12.0,20210202,월세,14.7,2000,55,상도휴엔하임,2016.0,아파트,동작구 상도동 363-164,37.5049864,126.9379435,136.05,41.16
2019,11710,송파구,10900,장지동,1,대지,879,0,17.0,20190424,전세,59.85,42000,0,송파더센트레,2013.0,아파트,송파구 장지동 879,37.479192,127.1401365,701.75,212.28
2020,11530,구로구,10600,고척동,1,대지,326,0,8.0,20200404,전세,59.94,14000,0,청구,1999.0,아파트,구로구 고척동 326,37.5015398,126.863838,233.57,70.65
2016,11680,강남구,10300,개포동,1,대지,141,0,1.0,20160320,전세,41.98,12000,0,개포주공1단지,1982.0,아파트,강남구 개포동 141,37.4785022,127.0615383,285.85,86.47
2011,11680,강남구,10500,삼성동,1,대지,4,6,14.0,20110402,전세,85.0,33000,0,삼성동한솔아파트,1998.0,아파트,강남구 삼성동 4-6,37.5173885,127.0455038,388.24,117.44
2020,11710,송파구,10100,잠실동,1,대지,27,0,3.0,20201107,전세,81.75,38800,0,주공아파트 5단지,1978.0,아파트,송파구 잠실동 27,37.5152448,127.0948683,474.62,143.57
2011,11260,중랑구,10600,신내동,1,대지,618,0,5.0,20110316,월세,59.4,5000,50,동성3,1997.0,아파트,중랑구 신내동 618,37.608527,127.0962462,84.18,25.46
2013,11350,노원구,10300,공릉동,1,대지,383,12,2.0,20130107,월세,17.14,2000,50,건양오피스텔,2012.0,오피스텔,노원구 공릉동 383-12,37.6253492,127.0716233,116.69,35.3
2012,11290,성북구,13500,종암동,1,대지,3,37,5.0,20120223,월세,51.2,4000,30,종암하이츠,2002.0,연립다세대,성북구 종암동 3-37,37.5968428,127.0396505,78.12,23.63
2017,11545,금천구,10300,시흥동,1,대지,5,13,3.0,20170725,전세,84.96,30000,0,삼익,1999.0,아파트,금천구 시흥동 5-13,37.4632778,126.9094469,353.11,106.81
2021,11200,성동구,10800,응봉동,1,대지,100,0,11.0,20210601,전세,63.18,48000,0,대림(1차),1986.0,아파트,성동구 응봉동 100,37.5519304,127.0332646,759.73,229.82
2015,11440,마포구,12200,합정동,1,대지,472,0,29.0,20150314,전세,119.99,85000,0,마포한강푸르지오,2015.0,아파트,마포구 합정동 472,37.5499947,126.9121946,708.39,214.29
2013,11440,마포구,12000,서교동,1,대지,333,44,2.0,20130227,월세,22.46,3500,50,WhiteVille,2002.0,연립다세대,마포구 서교동 333-44,37.5551686,126.9265708,155.83,47.14
2012,11410,서대문구,10200,충정로3가,1,대지,465,0,4.0,20111226,월세,29.23,3000,35,충정리시온,2004.0,오피스텔,서대문구 충정로3가 465,37.5602867,126.964843,102.63,31.05
2014,11710,송파구,10900,장지동,1,대지,901,0,7.0,20140222,전세,84.93,29000,0,위례24단지(꿈에그린),2013.0,아파트,송파구 장지동 901,37.4759174,127.1393662,341.46,103.29
2021,11650,서초구,10800,서초동,1,대지,1495,3,5.0,20211202,월세,94.37,70000,8,라포레서리풀,2017.0,연립다세대,서초구 서초동 1495-3,37.4854474,127.0023194,741.76,224.38
2017,11650,서초구,10600,잠원동,1,대지,73,0,4.0,20161223,전세,92.2,54000,0,신반포2,1978.0,아파트,서초구 잠원동 73,37.51023,127.0022228,585.68,177.17
2017,11470,양천구,10300,신월동,1,대지,207,24,2.0,20170615,전세,59.4,15000,0,금강,1998.0,아파트,양천구 신월동 207-24,37.5269314,126.8335113,252.53,76.39
2019,11560,영등포구,11800,도림동,1,대지,820,0,9.0,20191008,전세,86.54,35000,0,쌍용플래티넘시티1단지,2006.0,오피스텔,영등포구 도림동 820,37.5094299,126.8943712,404.44,122.34
2022,11170,용산구,13600,보광동,1,대지,151,0,7.0,20220604,월세,59.7,2000,135,리버빌(삼성),2000.0,아파트,용산구 보광동 151,37.5242895,127.0008585,33.5,10.13
2020,11710,송파구,11100,방이동,1,대지,227,3,4.0,20161210,월세,46.93,13000,46,삼성파크빌,2001.0,연립다세대,송파구 방이동 227-3,37.5070782,127.1197005,277.01,83.8
2015,11440,마포구,11400,창전동,1,대지,437,0,20.0,20150420,전세,59.94,30000,0,창전래미안,1998.0,아파트,마포구 창전동 437,37.5511712,126.9309007,500.5,151.4
2019,11710,송파구,10900,장지동,1,대지,905,0,3.0,20191209,월세,49.48,5837,30,위례포레샤인23단지,2017.0,아파트,송파구 장지동 905,37.4763763,127.13534,117.97,35.68
2015,11380,은평구,11400,진관동,1,대지,105,0,2.0,20150626,월세,49.01,4111,27,은평뉴타운마고정2단지,2009.0,아파트,은평구 진관동 105,37.6334239,126.9239746,83.88,25.37
2019,11230,동대문구,10600,장안동,1,대지,94,55,2.0,20181123,전세,64.2,17000,0,금성1동(94-55),1984.0,연립다세대,동대문구 장안동 94-55,37.5808606,127.0701453,264.8,80.1
2020,11650,서초구,10700,반포동,1,대지,20,43,17.0,20200302,월세,132.44,106000,290,반포자이,2009.0,아파트,서초구 반포동 20-43,37.5066137,127.0140157,800.36,242.11
2015,11650,서초구,10300,우면동,1,대지,59,0,2.0,20150321,전세,84.96,45000,0,동고,1995.0,아파트,서초구 우면동 59,37.4713569,127.0235674,529.66,160.22
2014,11620,관악구,10100,봉천동,1,대지,972,43,2.0,20140318,월세,21.26,500,38,(972-43),2002.0,오피스텔,관악구 봉천동 972-43,37.4905189,126.9258941,23.52,7.11
2018,11200,성동구,11400,성수동1가,1,대지,656,234,2.0,20180427,전세,59.89,41000,0,서울숲대림,2000.0,아파트,성동구 성수동1가 656-234,37.5420586,127.0453207,684.59,207.09
2022,11620,관악구,10200,신림동,1,대지,98,279,1.0,20221018,월세,32.68,300,40,진환빌,2011.0,연립다세대,관악구 신림동 98-279,37.475339,126.9419341,9.18,2.78
2020,11710,송파구,10400,송파동,1,대지,9,16,2.0,20190626,월세,48.33,5000,70,(9-16),2004.0,연립다세대,송파구 송파동 9-16,37.5083138,127.1053383,103.46,31.3
2022,11230,동대문구,10500,답십리동,1,대지,488,18,3.0,20220923,전세,14.24,9100,0,센시티16,2013.0,아파트,동대문구 답십리동 488-18,37.56627520000001,127.0563588,639.04,193.31
2013,11350,노원구,10500,상계동,1,대지,1255,0,11.0,20130611,월세,49.77,3000,50,은빛1단지,1998.0,아파트,노원구 상계동 1255,37.6815167,127.0538446,60.28,18.23
2018,11680,강남구,11800,도곡동,1,대지,957,11,12.0,20180702,전세,112.75,83000,0,도곡스타클래스,2007.0,아파트,강남구 도곡동 957-11,37.4851442,127.0357571,736.14,222.68
2017,11710,송파구,10700,가락동,1,대지,96,1,8.0,20170602,월세,43.79,25000,6,우성,1986.0,아파트,송파구 가락동 96-1,37.49662259999999,127.1177972,570.91,172.7
