접수년도,자치구코드,자치구명,법정동코드,법정동명,지번구분코드,지번구분,본번,부번,층,계약일,전월세구분,임대면적,보증금(만원),임대료(만원),건물명,건축년도,건물용도,주소,위도,경도,제곱미터당전세가,평당전세가
2012,11710,송파구,10100,잠실동,1,대지,101,1,13.0,20120423,전세,96.04,35000,0,우성아파트,1981.0,아파트,송파구 잠실동 101-1,37.5068649,127.073142,364.43,110.24
2015,11680,강남구,10400,청담동,1,대지,109,16,6.0,20150723,월세,102.69,30000,210,청담범신칼릭스빌2차,2007.0,아파트,강남구 청담동 109-16,37.5267317,127.0517459,292.14,88.37
2015,11530,구로구,10200,구로동,1,대지,23,0,1.0,20150306,월세,84.95,21500,230,우성(23),1985.0,아파트,구로구 구로동 23,37.5039686,126.8890254,253.09,76.56
2014,11260,중랑구,10300,중화동,1,대지,208,33,16.0,20140820,월세,84.98,9000,90,동양엔파트,2010.0,아파트,중랑구 중화동 208-33,37.5939932,127.0750236,105.91,32.04
2022,11590,동작구,10900,신대방동,1,대지,719,0,7.0,20220402,월세,52.49,2000,110,동작상떼빌,2006.0,오피스텔,동작구 신대방동 719,37.4875212,126.9068467,38.1,11.53
2019,11200,성동구,10900,금호동1가,1,대지,633,0,15.0,20191227,전세,59.9,36000,0,벽산,2001.0,아파트,성동구 금호동1가 633,37.5518565,127.0271162,601.0,181.8
2014,11650,서초구,10700,반포동,1,대지,1,1,9.0,20140104,전세,108.89,48500,0,한신3차,1978.0,아파트,서초구 반포동 1-1,37.5068005,126.9973098,445.4,134.73
2019,11170,용산구,13100,한남동,1,대지,828,0,17.0,20190501,전세,49.09,51000,0,한남아이파크애비뉴,2017.0,아파트,용산구 한남동 828,37.5323909,127.0072568,1038.91,314.27
2019,11740,강동구,10500,길동,1,대지,414,4,13.0,20190820,월세,13.97,3000,35,강동와이시티,2014.0,아파트,강동구 길동 414-4,37.53649,127.1374466,214.75,64.96
2021,11710,송파구,10400,송파동,1,대지,109,0,3.0,20210308,월세,13.04,1000,47,(109-0),2011.0,연립다세대,송파구 송파동 109,37.5050752,127.1111768,76.69,23.2
2021,11470,양천구,10300,신월동,1,대지,12,12,3.0,20210312,전세,63.59,25000,0,대신쉐르빌B동,2002.0,연립다세대,양천구 신월동 12-12,37.5412237,126.8269855,393.14,118.93
2021,11560,영등포구,12700,양평동3가,1,대지,66,0,20.0,20210520,전세,59.96,49000,0,삼호,1998.0,아파트,영등포구 양평동3가 66,37.528321,126.892778,817.21,247.21
2012,11410,서대문구,11000,북아현동,1,대지,1009,0,11.0,20120328,전세,59.96,19000,0,두산,1999.0,아파트,서대문구 북아현동 1009,37.5591787,126.9501091,316.88,95.86
2017,11290,성북구,11200,삼선동2가,1,대지,420,0,1.0,20170114,월세,84.83,5000,120,삼선현대힐스테이트,2009.0,아파트,성북구 삼선동2가 420,37.5821297,127.0134867,58.94,17.83
2018,11215,광진구,10400,광장동,1,대지,484,0,6.0,20180301,전세,84.97,55000,0,현대3,1990.0,아파트,광진구 광장동 484,37.5406205,127.0986045,647.29,195.8
2018,11620,관악구,10100,봉천동,1,대지,866,11,12.0,20180705,월세,25.82,1000,55,관악맥스텔,2003.0,오피스텔,관악구 봉천동 866-11,37.4797579,126.9512359,38.73,11.72
2017,11500,강서구,10100,염창동,1,대지,302,0,12.0,20170531,전세,59.99,40000,0,염창2차한화꿈에그린,2006.0,아파트,강서구 염창동 302,37.5517159,126.8668563,666.78,201.7
2016,11560,영등포구,11800,도림동,1,대지,165,1,10.0,20160718,월세,59.93,10000,55,동아에코빌,2000.0,아파트,영등포구 도림동 165-1,37.5091693,126.8987333,166.86,50.48
2017,11650,서초구,10100,방배동,1,대지,978,14,4.0,20171213,전세,34.67,20800,0,(978-14),2003.0,연립다세대,서초구 방배동 978-14,37.4815215,126.9924228,599.94,181.48
2017,11680,강남구,11800,도곡동,1,대지,464,0,6.0,20170616,전세,59.48,45000,0,한신(개포),1985.0,아파트,강남구 도곡동 464,37.4868895,127.0488972,756.56,228.86
